휴게소명,도로종류,도로노선번호,도로노선명,도로노선방향,위도,경도,휴게소종류,휴게소운영시작시각,휴게소운영종료시각,도로점용면적,주차면수,경정비가능여부,주유소유무,LPG충전소유무,전기차충전소유무,버스환승가능여부,쉼터유무,화장실유무,약국유무,수유실유무,매점유무,음식점유무,기타편의시설,휴게소대표음식명,휴게소전화번호,데이터기준일자,제공기관코드,제공기관명
밀양영남루(함양),고속국도,14,함양울산선,상행,35.489732,128.663321,일반휴게소,00:00,23:59,25543,112,N,Y,N,N,N,Y,Y,N,Y,Y,Y,,비빔밥,055-355-7972,2026-01-26,B500004,한국도로공사
서부산(순천),고속국도,104,남해제2지선,하행,35.157197,128.948638,일반휴게소,00:00,23:59,12190,130,N,Y,N,Y,N,N,Y,N,Y,Y,Y,,김치찌개,051-941-2110,2026-01-26,B500004,한국도로공사
남한강(통합),고속국도,451,중부내륙선,양방향,37.482835,127.466735,일반휴게소,00:00,23:59,54470,425,N,Y,N,Y,N,Y,Y,N,Y,Y,Y,,제육볶음,031-771-5991,2026-01-26,B500004,한국도로공사
횡성(인천),고속국도,50,영동선,상행,37.464983,128.135449,일반휴게소,00:00,23:59,37474,246,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,,횡성더덕설렁탕,033-342-4200,2026-01-26,B500004,한국도로공사
횡성(강릉),고속국도,50,영동선,하행,37.462755,128.133969,일반휴게소,00:00,23:59,47509,291,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,,횡성한우떡더덕스테이크,033-342-4231,2026-01-26,B500004,한국도로공사
황전(완주),고속국도,27,순천완주선,상행,35.153306,127.454683,일반휴게소,00:00,23:59,34013,121,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,황전해초꼬막비빔밥+재첩국,061-782-1154,2026-01-26,B500004,한국도로공사
황전(순천),고속국도,27,순천완주선,하행,35.148905,127.454145,일반휴게소,00:00,23:59,26097,154,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,고소한 수제돈가스+남도식국물잡채,061-782-1135,2026-01-26,B500004,한국도로공사
황간(서울),고속국도,1,경부선,상행,36.249437,127.854835,일반휴게소,00:00,23:59,32652,118,N,Y,N,Y,N,N,Y,N,Y,Y,Y,,영표국밥＆솥밥,043-742-7633,2026-01-26,B500004,한국도로공사
황간(부산),고속국도,1,경부선,하행,36.248899,127.8526701,일반휴게소,00:00,23:59,28345,119,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,,영표국밥＆솥밥,043-742-5805,2026-01-26,B500004,한국도로공사
화성(서울),고속국도,15,서해안선,상행,37.143497,126.881289,일반휴게소,00:00,23:59,47509,444,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,,순두부청국장,031-353-8143,2026-01-26,B500004,한국도로공사
화성(목포),고속국도,15,서해안선,하행,37.143612,126.8790801,일반휴게소,00:00,23:59,34013,381,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,,화성궁중비빔밥,031-353-8140,2026-01-26,B500004,한국도로공사
화서(영덕),고속국도,30,당진영덕선,상행,36.444053,127.922637,일반휴게소,00:00,23:59,26097,225,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,제육볶음,054-531-1982,2026-01-26,B500004,한국도로공사
홍천강(춘천),고속국도,55,중앙선,상행,37.712386,127.827719,일반휴게소,00:00,23:59,32652,127,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,,얼큰황태순두부_주물솥밥,033-435-1201,2026-01-26,B500004,한국도로공사
홍천(양양),고속국도,60,서울양양선,하행,37.757369,128.003099,일반휴게소,00:00,23:59,43386,209,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,,홍천닭갈비화로구이,033-436-3000,2026-01-26,B500004,한국도로공사
홍천(서울),고속국도,60,서울양양선,상행,37.758898,128.0065801,일반휴게소,00:00,23:59,55517,255,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,,중화비빔밥,033-436-9000,2026-01-26,B500004,한국도로공사
홍성(서울),고속국도,15,서해안선,상행,36.5524301,126.5818701,일반휴게소,00:00,23:59,81664,147,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,홍성반상한우국밥,041-642-1172,2026-01-26,B500004,한국도로공사
홍성(목포),고속국도,15,서해안선,하행,36.552584,126.579514,일반휴게소,00:00,23:59,64043,163,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,홍성반상한우국밥,041-642-1151,2026-01-26,B500004,한국도로공사
현풍(창원),고속국도,451,중부내륙지선,하행,35.701783,128.435359,일반휴게소,00:00,23:59,23928,91,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,현풍고추장불고기백반,053-614-2436,2026-01-26,B500004,한국도로공사
현풍(대구),고속국도,451,중부내륙지선,상행,35.701841,128.4381001,일반휴게소,00:00,23:59,42378,131,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,현풍돼지불고기백반,053-615-0337,2026-01-26,B500004,한국도로공사
행담도,고속국도,15,서해안선,양방향,36.944819,126.807525,일반휴게소,00:00,23:59,42203,627,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,,전주양반비빔밥,041-358-0700,2026-01-26,B500004,한국도로공사
함평천지(서울),고속국도,15,서해안선,상행,35.130746,126.482295,일반휴게소,00:00,23:59,49784,126,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,친환경 우렁 강된장 볶음+몽글몽글 순두부찌개,061-323-3641,2026-01-26,B500004,한국도로공사
함평천지(목포),고속국도,15,서해안선,하행,35.069687,126.478247,일반휴게소,00:00,23:59,54324,101,N,Y,N,Y,N,Y,Y,N,Y,Y,Y,,나주곰탕+순두부찌개,061-323-3751,2026-01-26,B500004,한국도로공사
함평나비(무안),고속국도,12,무안광주선,하행,35.038198,126.508813,일반휴게소,00:00,23:59,47569,148,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,순두부청국장+등심돈까스,061-324-8858,2026-01-26,B500004,한국도로공사
함평나비(광주),고속국도,12,무안광주선,상행,35.037283,126.511676,일반휴게소,00:00,23:59,21068,148,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,사골김치찌개+황태해장국,061-324-8840,2026-01-26,B500004,한국도로공사
함양(통영),고속국도,35,대전통영선,하행,35.551322,127.758563,일반휴게소,00:00,23:59,202440,117,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,새싹삼비빔밥,055-963-6717,2026-01-26,B500004,한국도로공사
